id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
9447,712,"2014-06-00 00:00:00",4799.61,71635.97014925373,712,MB202068,"SOUTH BEACH                   ","810 PACIFIC ST                ","HOUSTON             ",TX,77006,101,29.747055,-95.390578
9506,717,"2014-06-00 00:00:00",172.25,2570.8955223880594,717,MB202740,"OVATIONS                      ","2536B TIMES BLVD              ","HOUSTON             ",TX,77005,101,29.7166757,-95.4172082
9577,722,"2014-06-00 00:00:00",778,11611.940298507461,722,MB203640,"FUGATE CLUB INC               ","10055 FUQUA ST                ","HOUSTON             ",TX,77089,101,29.611954,-95.2349482
9608,725,"2014-06-00 00:00:00",0,0,725,MB203814,"CHILI'S GRILL AND BAR         ","10101 S POST OAK RD           ","HOUSTON             ",TX,77096,101,29.6731136,-95.4601331
9653,728,"2014-06-00 00:00:00",4433.79,66175.97014925373,728,MB204275,"MOLINA'S MEXICAN RESTAURANT   ","7901 WESTHEIMER RD            ","HOUSTON             ",TX,77063,101,29.7367421,-95.5066121
9668,729,"2014-06-00 00:00:00",2948,44000,729,MB204332,"WARREN'S INN                  ","307 TRAVIS ST                 ","HOUSTON             ",TX,77002,101,29.7623772,-95.3616572
9817,740,"2014-06-00 00:00:00",909.05,13567.910447761193,740,MB204978,"BELLA BEVERAGE CORPORATION    ","6633 TRAVIS                   ","HOUSTON             ",TX,77030,101,29.709903,-95.403276
9847,742,"2014-06-00 00:00:00",4189.17,62524.92537313433,742,MB204987,"RAINBOW LODGE RESTAURANT      ","1706 W 21ST ST                ","HOUSTON             ",TX,77008,101,29.8047601,-95.4293322
9877,744,"2014-06-00 00:00:00",0,0,744,MB205229,"RIVERSIDE TERRACE CAFE        ","2515 RIVERSIDE DR             ","HOUSTON             ",TX,77004,101,29.716343,-95.375876
9922,747,"2014-06-00 00:00:00",3442.72,51383.88059701492,747,MB205374,"JUMP'S BAR & GRILL            ","13180 WESTPARK DR STE 301     ","HOUSTON             ",TX,77082,101,29.7216404,-95.6186768
9937,748,"2014-06-00 00:00:00",423.84,6325.970149253731,748,MB205436,"TACO CABANA                   ","8101 S MAIN ST                ","HOUSTON             ",TX,77025,101,29.6925013,-95.4153941
10179,765,"2014-06-00 00:00:00",408.96,6103.880597014925,765,MB206907,"SKEETER'S                     ","5529 WESLAYAN ST              ","HOUSTON             ",TX,77005,101,29.7221068,-95.4409264
10390,779,"2014-06-00 00:00:00",2817.95,42058.95522388059,779,MB208202,"EL PALENQUE MEXICAN RESTAURANT","21161 TOMBALL PKWY            ","HOUSTON             ",TX,77070,101,29.9986704,-95.581486
10405,780,"2014-06-00 00:00:00",2720.33,40601.940298507456,780,MB208284,"THE OLIVE GARDEN #1166        ","7525 CYPRESS CREEK PKWY       ","HOUSTON             ",TX,77070,101,29.9642843,-95.5422263
10450,783,"2014-06-00 00:00:00",1355.54,20231.94029850746,783,MB208952,"VICTOR'S CASA GARCIA MEXICAN C","1939 N FRY RD                 ","HOUSTON             ",TX,77449,101,29.7942245,-95.7195779
10465,784,"2014-06-00 00:00:00",877.63,13098.955223880595,784,MB209288,"MICHELANGELO'S RESTAURANT     ","307 WESTHEIMER RD             ","HOUSTON             ",TX,77006,101,29.7443689,-95.384966
10531,789,"2014-06-00 00:00:00",2845.35,42467.91044776119,789,MB209846,"MOLLY MALONE'S PUB            ","7824 LOUETTA RD               ","HOUSTON             ",TX,77379,101,30.0164231,-95.5321437
10665,798,"2014-06-00 00:00:00",114.9,1714.9253731343283,798,MB210748,"R WES INC                     ","7511 CYPRESS CREEK PKWY       ","HOUSTON             ",TX,77070,101,29.9644013,-95.5419765
10681,799,"2014-06-00 00:00:00",1803.1,26911.94029850746,799,MB210778,"THE GOOD FORTUNE CLUB         ","25170 INTERSTATE 45 STE 6     ","HOUSTON             ",TX,77386,170,30.116014,-95.4394601
10888,817,"2014-06-00 00:00:00",2243.29,33481.94029850746,817,MB212126,"EL PRINCIPE AZUL              ","6469 HILLCROFT ST             ","HOUSTON             ",TX,77081,101,29.7114687,-95.4934306
10903,818,"2014-06-00 00:00:00",858.8,12817.910447761193,818,MB212209,"ARAMARK SPORTS AND ENTERTAINME","551 N SHEPHERD DR STE 250     ","HOUSTON             ",TX,77007,101,29.7817369,-95.4097569
11020,826,"2014-06-00 00:00:00",2260.71,33741.94029850746,826,MB212633,"SPOTLIGHT KARAOKE             ","5901 WESTHEIMER RD STE P      ","HOUSTON             ",TX,77057,101,29.7368681,-95.4850068
11065,829,"2014-06-00 00:00:00",2382.52,35560,829,MB213218,"SHAKESPEARE PUB               ","14129 MEMORIAL DR STE E       ","HOUSTON             ",TX,77079,101,29.7694493,-95.5926942
11081,830,"2014-06-00 00:00:00",111.28,1660.8955223880596,830,MB213321,"TEXAS SUNSET GRILL            ","4510 FM 1960 RD E             ","HOUSTON             ",TX,77346,101,29.9992389,-95.205733
11097,831,"2014-06-00 00:00:00",2231.16,33300.895522388055,831,MB213441,"JIMMY G'S CAJUN SEAFOOD RESTAU","307 EAST NORTH BELT           ","HOUSTON             ",TX,77060,101,29.9683035,-95.3793298
